,Fruit_x,Form,RetailPrice_x,RetailPriceUnit_x,Yield,CupEquivalentSize_x,CupEquivalentUnit_x,CupEquivalentPrice_x,Fruit_y,RetailPrice_y,RetailPriceUnit_y,CupEquivalentSize_y,CupEquivalentUnit_y,CupEquivalentPrice_y
125,14,0,2.092,0,0.65,0.4409,0,1.4191,21,1.1189,0,0.3858,0,0.6641
126,14,0,2.092,0,0.65,0.4409,0,1.4191,22,1.0266,0,0.3417,0,0.5397
127,14,0,2.092,0,0.65,0.4409,0,1.4191,25,1.5676,0,0.3748,0,0.9039
128,14,0,2.092,0,0.65,0.4409,0,1.4191,31,1.3154,0,0.3527,0,0.7138
129,15,0,1.6509,0,1.0,0.5401,0,0.8917,19,5.3496,0,0.2976,0,1.5922
130,15,0,1.6509,0,1.0,0.5401,0,0.8917,23,1.8642,0,0.5401,0,1.0069
131,15,0,1.6509,0,1.0,0.5401,0,0.8917,27,1.0715,0,0.5401,0,0.5787
132,16,0,1.7771,0,0.65,0.4409,0,1.2055,0,3.4498,0,0.3858,0,2.0476
133,16,0,1.7771,0,0.65,0.4409,0,1.2055,1,3.4328,0,0.3968,0,2.0958
134,16,0,1.7771,0,0.65,0.4409,0,1.2055,2,1.1431,0,0.3748,0,0.6591
135,16,0,1.7771,0,0.65,0.4409,0,1.2055,3,1.2387,0,0.3858,0,0.7352
136,16,0,1.7771,0,0.65,0.4409,0,1.2055,4,1.3164,0,0.3748,0,0.759
137,16,0,1.7771,0,0.65,0.4409,0,1.2055,5,1.478,0,0.3086,0,0.7018
138,16,0,1.7771,0,0.65,0.4409,0,1.2055,6,1.1979,0,0.3197,0,0.5892
139,16,0,1.7771,0,0.65,0.4409,0,1.2055,7,1.3315,0,0.3638,0,0.7452
140,16,0,1.7771,0,0.65,0.4409,0,1.2055,8,1.1543,0,0.3638,0,0.646
141,16,0,1.7771,0,0.65,0.4409,0,1.2055,9,1.1583,0,0.3858,0,0.6875
142,16,0,1.7771,0,0.65,0.4409,0,1.2055,10,1.1291,0,0.2976,0,0.517
143,16,0,1.7771,0,0.65,0.4409,0,1.2055,11,1.3118,0,0.3527,0,0.7119
144,16,0,1.7771,0,0.65,0.4409,0,1.2055,12,1.1208,0,0.3858,0,0.6652
145,16,0,1.7771,0,0.65,0.4409,0,1.2055,15,1.4785,0,0.3748,0,0.8525
146,16,0,1.7771,0,0.65,0.4409,0,1.2055,16,1.4754,0,0.3392,0,0.7699
147,16,0,1.7771,0,0.65,0.4409,0,1.2055,17,1.3367,0,0.3307,0,0.68
148,16,0,1.7771,0,0.65,0.4409,0,1.2055,18,1.2738,0,0.3858,0,0.7561
149,16,0,1.7771,0,0.65,0.4409,0,1.2055,21,1.1189,0,0.3858,0,0.6641
150,16,0,1.7771,0,0.65,0.4409,0,1.2055,22,1.0266,0,0.3417,0,0.5397
151,16,0,1.7771,0,0.65,0.4409,0,1.2055,25,1.5676,0,0.3748,0,0.9039
152,16,0,1.7771,0,0.65,0.4409,0,1.2055,31,1.3154,0,0.3527,0,0.7138
153,17,1,2.5259,0,0.94,0.3638,0,0.9775,14,2.3074,0,0.2094,0,0.5141
154,18,1,2.9682,0,0.94,0.3197,0,1.0094,14,2.3074,0,0.2094,0,0.5141
